symbol,famtyp,ipoage,firmage,assets,famstyle,ceoname,ceo_fam,beceo,tenure,ceopattern,duality,ceo_own,ins_own,secfifshare,firstshare,control_own,power_dev
2108,1,12,18,4755459195,1,äº__,nofamily,2017,2,1,0,0,36.954899,9.0900002,29.799999,15.3351,0.51459998
2111,3,12,17,4816224990,1,___è½,family,2018,1,1,0,0,35.2262,21.5,28.25,26.504299,0.61849999
2113,1,12,30,1948111450,2,æ±_³°,nofamily,2014,5,1,0,0,52.060001,25.58,18.860001,23.198,0.7457
2115,3,12,15,4631372732,1,___,nofamily,2007,12,0,0,0.16,9.7598,21.32,14.36,22.235901,0.95719999
2118,3,12,18,10658639432,1,å°__é¡,nofamily,2019,0,1,0,0,45.4897,14.67,36.650002,28.8277,0.63
2120,3,12,23,22496654773,2,___äº,family,2017,2,1,1,3.4000001,76.306099,15.93,52.189999,59.6427,0.97009999
2121,3,12,19,10114225432,1,___,nofamily,2019,0,0,0,0,24.866699,29.309999,24.26,24.26,1
2122,1,12,17,4627340599,2,æ­¦å_é£,nofamily,2018,1,0,1,0,49.080002,20.059999,29.969999,7.0447001,0.33340001
2123,1,12,21,5955410937,2,ä½___,family,2017,2,1,1,20.389999,24.9813,13.55,20.389999,20.389999,1
2124,3,12,18,7534383259,1,__¤¼_,nofamily,2019,0,1,0,0,9.8992996,15.24,24.75,24.75,1
2126,3,12,20,8424106636,1,å¤__,nofamily,2017,2,1,0,0,38.681,18.84,10.16,7.2249999,0.39480001
2127,3,12,20,5484815012,2,å¼__ç¥,family,2016,3,0,1,24.940001,37.215199,12.7,24.940001,29.418501,0.9813
2130,3,12,21,6441062395,1,____,nofamily,2012,7,1,0,0.1,6.6996002,21.469999,15.06,15.06,1
2131,3,12,18,13322567348,1,____,family,2009,10,1,1,9.54,12.623,20.950001,9.54,17.08,1
2132,3,12,24,4799568938,1,è°¢æ_é¾,family,2019,0,1,0,0,6.7377,16.75,21.16,21.16,1
2133,3,12,15,13076009777,1,æ±___,nofamily,2013,6,1,0,0.079999998,23.3293,17.120001,17.41,32.470001,1
2135,1,12,18,11443472566,1,å¾__ç¥,nofamily,2004,15,1,0,1.74,56.098701,19.08,30.41,26.115299,0.61400002
2137,3,12,21,1823724952,1,é«_¤¼å¼,nofamily,2017,2,0,0,0,4.9587998,17.879999,34.299999,45.720001,1
2138,3,12,14,6304407403,1,_½çº¢_,nofamily,2005,14,1,0,0.66000003,34.146301,16.690001,14.19,14.19,1
2139,1,12,23,5121650812,1,æ­¦æ°¸å¼,family,2008,11,1,1,20.809999,6.5834999,9.5600004,20.809999,20.809999,1
2141,3,12,34,1844657230,2,_©æå­,nofamily,2019,0,1,1,0,58.330299,31.9,26.030001,30.846201,0.76999998
2144,3,12,22,1943166707,1,æ²___,family,2016,3,1,1,22,2.7421,11.71,22,22,1
2145,1,12,18,5736378742,2,___å³,nofamily,2019,0,0,0,0,7.8713002,22.200001,21.370001,21.370001,1
2146,1,12,16,2.55E+11,1,__±±,nofamily,2006,13,1,0,0.34,60.5821,29.540001,35.650002,41.276501,0.68839997
2147,3,12,16,13738832576,2,____,family,2016,3,1,0,6.8899999,70.208603,14.05,62.049999,68.940002,1
2148,1,12,18,1238683012,1,___æ°,family,2004,15,1,1,21.139999,0.4772,7.3099999,21.139999,21.139999,1
2150,3,12,17,1695275255,1,_³æ_æ±,nofamily,2006,13,1,1,0.36000001,60.661201,21.93,38.32,8.5643997,0.54619998
2151,1,12,19,6142688001,1,_¨å_æ¬,family,2017,2,1,1,29.860001,14.0541,16.690001,29.860001,29.860001,1
2153,3,12,21,10906820851,1,__»²_,family,2007,12,1,1,54.619999,29.051001,21.76,54.619999,58.240002,1
2154,3,12,18,4417368163,1,_´å_æ³,family,2017,2,1,1,10.35,1.1046,16.18,15.24,25.790001,1
2156,3,12,25,16157098083,1,_³ç,family,2008,11,1,0,0.01,69.738602,29.629999,27.35,11.7838,0.4307
2157,3,12,23,30832450720,1,__³°,family,2015,4,0,0,0.059999999,49.115799,28.99,21.530001,39.9048,0.97210002
2158,3,12,21,3498651977,1,_°¸_,nofamily,2016,3,1,0,0.039999999,63.201099,30.360001,32.68,7.5458002,0.32679999
2159,1,12,30,2876048555,,å¼__,nofamily,2018,1,1,0,0.079999998,45.012798,20.4,20.09,5.0899,0.20299999
2160,1,12,15,6001705835,1,_±æ_,nofamily,2019,0,1,0,2.1400001,42.231201,17.25,23.309999,10.9076,0.40180001
2161,3,12,16,2634026584,1,____,family,2019,0,1,1,4.71,1.4,7.9499998,22.5,27.209999,1
2162,1,12,17,2340351167,1,____,family,2018,1,1,1,0,56.750301,11.33,46.830002,42.813,0.79210001
2164,3,12,13,1723934484,1,å®__æ¶,nofamily,2018,1,1,0,0,45.4519,34.68,19.799999,26.540001,0.81709999
2165,3,12,25,3818099295,1,__æ°,family,2010,9,1,0,0.20999999,41.198601,12.08,28,16.040001,0.55059999
2166,3,12,15,2599695710,1,ç§¦æ__,family,2014,5,0,1,18.74,3.5367999,19.6,18.74,29.09,1
2168,3,12,16,3526620391,2,æ±_æ¶,family,2019,0,1,1,0,39.453899,19.75,13.67,13.7799,0.4632
2169,3,12,14,5776906979,1,__°¨,nofamily,2018,1,0,0,0,24.181,7.7399998,19.32,24.213499,0.97359997
2170,3,12,18,3761728787,1,é»___,family,2007,12,1,1,29.08,8.9906998,13.26,29.08,29.08,1
2171,1,12,17,8461460982,1,å§_º¯,family,2014,5,1,1,0,48.8409,16.6,32.369999,23.4877,0.7256
2172,3,12,18,6347388954,1,æ²_å¦,family,2018,1,1,1,0.01,41.9776,9.4899998,39.299999,18.3584,0.44229999
2173,3,12,16,2968039316,1,é©»ºå»,nofamily,2019,0,1,0,0.82999998,28.2994,31.1,17.059999,21.950001,1
2174,1,12,24,8926314621,2,__,family,2014,5,0,1,32.150002,25.121,11.29,32.150002,32.150002,1
2175,3,12,18,662738728.3,1,å¼_¾¤,nofamily,2019,0,0,1,0,13.93,15.47,7.6799998,7.6799998,1
2176,2,12,28,5620669608,1,æ¢__,nofamily,2019,0,1,0,0,32.007702,11.02,14.12,8.2592001,0.5808
2177,1,12,18,1758222939,1,è°_,nofamily,2017,2,1,1,0,0.2974,1.47,20.07,20.07,1
2178,2,12,13,2038834531,2,æ½__,family,2019,0,1,0,0.050000001,27.380501,22.620001,17.41,26.165199,0.7202
2180,3,12,15,37819050441,2,ä¸¥ä_,nofamily,2015,4,1,0,0.1,67.0438,12.99,50.810001,31.675301,0.62339997
2182,3,12,26,5121112166,1,æ¢___,family,2009,10,1,1,24.030001,17.358601,14.7,24.030001,24.030001,1
2184,3,12,19,2021888391,1,__æ¦,family,2009,10,1,0,19.809999,6.5855999,29.76,21.76,42.220001,1
2185,3,12,16,16044968731,1,____,nofamily,2012,7,0,0,0,39.610802,4.02,25.93,15.4006,0.59280002
2188,1,12,13,109581247.5,2,__¸­_,nofamily,2018,1,1,0,0,39.482399,20.34,20.299999,5.9131999,0.2913
2191,1,12,16,8672684776,1,ä¾_ä¸,nofamily,2012,7,1,0,0.41999999,52.798901,15.84,31.610001,30.370701,0.8854
2192,3,12,21,810300312.9,2,____,family,2014,5,0,1,0.27000001,24.7097,6.9099998,23.82,25.16,1
2193,1,12,26,4888767224,2,___å§,nofamily,2017,2,1,0,0,60.853802,31.459999,23.120001,8.8850002,0.2167
2194,3,12,17,2427609385,1,å¤__,nofamily,2019,0,0,0,0,20.444401,35.07,28.1,37.130001,1
2197,3,12,13,5989337242,1,_¾è_å¼,family,2006,13,1,1,20.32,0.47530001,14.54,20.32,31.379999,1
2201,1,12,25,2299804367,2,é¡¾æ__,nofamily,2018,1,1,0,0,42.298401,30,19.549999,24.9606,0.83819997
2203,3,11,18,24522263320,1,_±å_æ³,family,2013,6,1,1,1.13,68.528999,19.75,45.130001,43.1777,0.87230003
2206,3,11,18,5570703229,1,é«__ä¼,family,2011,8,1,0,10.14,22.4575,26.290001,17.43,33.439999,1
2207,1,11,16,472714240.6,2,ç®ä¼,nofamily,2019,0,1,0,0.19,30.92,9.8400002,23.299999,23.299999,1
2209,3,11,13,1440113870,2,___,nofamily,2015,4,1,0,0,22.7701,21.01,26.209999,26.209999,1
2210,3,11,21,2577457154,1,è´¹ç__,nofamily,2019,0,1,1,0,48.5,24.52,42.849998,57.382099,0.93080002
2211,1,11,17,1078860759,2,_¨å_,nofamily,2019,0,0,0,0,39.407001,13.54,28.23,23.1509,0.81999999
2212,3,11,34,11113758813,1,ç«___,family,2017,2,1,0,0.01,40.0798,21.870001,12.33,12.864,0.91170001
2213,1,11,19,462557241.3,1,___,nofamily,2018,1,0,0,0,29.028,17.15,19.49,18.553499,0.94709998
2214,1,11,14,1567711934,1,åº__æ°,family,2005,14,1,1,29.1,5.7016001,4.71,29.1,29.1,1
2215,3,11,14,5884396027,1,é«__æ£,nofamily,2018,1,1,0,0.029999999,18.2005,22.26,27.02,42.974201,0.99040002
2216,3,11,18,5283219786,1,___,family,2009,10,1,0,9.8999996,37.887798,37.889999,10.54,60.0476,0.9091
2218,3,11,12,6273018177,1,_¨å_å¼,nofamily,2019,0,1,0,0,43.948299,14.07,31.73,44.846001,0.99949998
2219,1,11,18,4909889866,1,___,nofamily,2018,1,1,1,0,18.2974,14.6,42.490002,42.490002,1
2220,1,11,22,3381556147,1,___æ³,nofamily,2018,1,1,0,0,33.369999,35.060001,18.83,32.452499,0.87330002
2221,3,11,23,28081435718,1,_´é_é¾,nofamily,2018,1,0,0,0,42.922401,24.860001,19.719999,38.849998,1
2223,3,11,12,7965728884,1,_´ç¾¤,family,2019,0,1,0,7.7199998,45.128201,23.9,26.530001,44.57,1
2224,3,11,17,2802454497,1,_´ç__,family,2013,6,1,1,2.6199999,1.2246,5.8000002,31.959999,34.580002,1
2225,3,11,17,5723927512,1,_¹é_,nofamily,2019,0,1,0,0.01,12.4244,25.92,13.88,26.320601,0.99769998
2226,1,11,14,12205606121,2,æ²___,nofamily,2016,3,0,0,0,62.920601,19.98,36.82,27.6583,0.4826
2227,3,11,21,1279251206,1,å»___,family,2007,12,1,1,0,66.190002,7.8800001,57.57,57.57,1
2228,3,11,12,6512305837,1,è®¸æ__,family,2007,12,1,1,0.46000001,48.6166,15.99,33.959999,45.079899,1
2229,3,11,20,2123455511,1,æ¯__,nofamily,2019,0,0,1,0,14.3007,19.110001,14.3,19.290001,1
2231,3,11,19,781762575.7,2,_½å_æµ,nofamily,2019,0,1,0,0,28.159201,21.51,27.950001,4.1131001,0.1472
2233,3,11,12,11752022732,1,ä½___,nofamily,2013,6,1,0,0.01,15.0361,30.4,16.610001,26.17,1
2234,3,11,22,3261229960,1,å­_æ³,family,2010,9,1,0,11.1,4.1128998,15.74,31.219999,42.32,1
2235,3,11,12,2255563046,1,å¼__,family,2016,3,1,1,6.9000001,0.95850003,11.84,14.9,21.799999,1
2236,3,11,17,29564650213,1,___,nofamily,2017,2,0,0,0.079999998,19.1584,16.1,35.970001,38.34,1
2239,1,11,17,8191677877,2,ä¸__,nofamily,2016,3,1,0,0,49.240398,40.41,16.16,29.9,1
2240,3,11,18,4883404439,2,__,nofamily,2018,1,1,0,0,37.0131,23.860001,13.54,11.7553,0.71329999
2241,3,11,18,34660304627,1,å§__,family,2014,5,1,0,5,43.018101,23.49,18.42,36.66,1
2242,1,11,12,7467802731,1,_¨å_å®,nofamily,2019,0,1,0,0.13,82.291603,27.639999,50.110001,,
2244,3,11,13,1.30E+11,1,_±æ__,nofamily,2006,13,1,0,3.22,58.8479,21.059999,42.950001,39.995602,0.72119999
2245,3,11,12,6910118340,1,___,nofamily,2007,12,1,1,0,35.108898,22.940001,17.34,12.125,0.54269999
2248,1,11,15,603103829,2,__µ·æ³,nofamily,2019,0,1,0,0,22.570499,12.61,17.5,9.7807999,0.5589
2249,3,11,13,13777010226,1,å¾_µ·_,nofamily,2006,13,1,0,5.9499998,16.9972,16.08,29.1,31.129999,1
2250,3,11,18,9611083713,1,Andreas Winterfeldt,nofamily,2017,2,1,0,0,19.999201,10.29,27.549999,27.549999,1
2251,3,11,15,24377769523,1,__¡«,family,2007,12,1,1,0,61.294998,21.1,34.990002,24.479,0.69959998
2252,3,11,31,11853051145,1,___,nofamily,2016,3,0,1,0,74.353897,37.169998,31.809999,39.7943,0.59310001
2255,3,11,12,4908972515,1,å¾___,family,2007,12,1,1,11.42,12.4805,20.82,11.42,11.5629,0.91259998
2256,3,11,24,2717201478,1,å¼__,nofamily,2018,1,0,1,0,27.729601,26.57,26.26,40.049999,1
2259,1,11,14,1541457066,1,___,family,2019,0,1,1,0,26.42,8.1199999,24.52,24.0296,0.98000002
2260,1,11,13,588014671.8,2,å¼__å½,nofamily,2018,1,0,0,0,27.33,7.98,24.66,4.1638999,0.1689
2261,3,11,18,3047269840,1,___å®,family,2018,1,0,1,15.95,5.2532001,19.129999,15.95,15.95,1
2262,3,11,20,4201501935,1,å­__,nofamily,2010,9,1,0,0.07,41.515301,16.33,34.740002,35.638599,0.69779998
